,id,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat,work_sentence
256,256,free fatty acid oxidation,glycogenolysis,"expenditure, insulin sensitivity, lipolysis, free fatty acid oxidation, adipocyte browning, glycogenolysis, glycogenesis, and general metabolism",,0.0,0.0,"expenditure, insulin sensitivity, lipolysis, free fatty acid oxidation, adipocyte browning, glycogenolysis, glycogenesis, and general metabolism"
257,257,olive oil consumption,osteoporosis,rates of osteoporosis are significantly lower in regions of the world where olive oil consumption is a dietary cornerstone,DOID:11476,0.0,1.0,rates of osteoporosis are significantly lower in regions of the world where olive oil consumption is a dietary cornerstone
258,258,extra-virgin olive oil,alzheimer's disease,previous evidence suggested that extra-virgin olive oil (evoo) is linked to attenuating amyloid-beta (abeta) pathology and improving cognitive function in alzheimer's disease (ad) mouse models,DOID:10652,0.0,1.0,previous evidence suggested that extra-virgin olive oil (evoo) is linked to attenuating amyloid-beta (abeta) pathology and improving cognitive function in alzheimer's disease (ad) mouse models
259,259,beer consumed,kidney stones,associated with risk of kidney stones; each bottle of beer consumed per day was estimated to,DOID:585,0.0,1.0,associated with risk of kidney stones; each bottle of beer consumed per day was estimated to
260,260,aerosolized crab allergens,asthma,aerosolized crab allergens are suspected etiologic agents for asthma among crab-processing workers,DOID:2841,1.0,0.0,aerosolized crab allergens are suspected etiologic agents for asthma among crab-processing workers
261,261,malnutrition,cerebral palsy,children with cerebral palsy exhibit eating problems due to the effect on the anatomical and functional structures involved in the eating function resulting in malnutrition,DOID:1969,0.0,0.0,children with cerebral palsy exhibit eating problems due to the effect on the anatomical and functional structures involved in the eating function resulting in malnutrition
262,262,maize,neural tube defects,wheat and maize (corn) flour are staple crops consumed widely throughout the world and have been fortified with folic acid in over countries to prevent neural tube defects,DOID:0080074,0.0,1.0,wheat and maize (corn) flour are staple crops consumed widely throughout the world and have been fortified with folic acid in over countries to prevent neural tube defects
263,263,flour,occupational diseases,are exposed daily to flour and may be susceptible to immunologic occupational diseases,,1.0,0.0,are exposed daily to flour and may be susceptible to immunologic occupational diseases
264,264,folic acid,neural tube birth defect,periconceptional intake of folic acid is known to reduce a woman's risk of having an infant affected by a neural tube birth defect (ntd,,0.0,1.0,periconceptional intake of folic acid is known to reduce a woman's risk of having an infant affected by a neural tube birth defect (ntd
265,265,rice fortification,micronutrient deficiencies,rice fortification with vitamins and minerals has the potential to increase the nutrition in rice-consuming countries where micronutrient deficiencies exist,,0.0,1.0,rice fortification with vitamins and minerals has the potential to increase the nutrition in rice-consuming countries where micronutrient deficiencies exist
266,266,chemotherapy drugs,hypersensitivity,"new symptoms of hypersensitivity caused by chemotherapy drugs, monoclonal antibodies, and biological agents",DOID:1205,1.0,0.0,"new symptoms of hypersensitivity caused by chemotherapy drugs, monoclonal antibodies, and biological agents"
267,267,tea,type diabetes,"tea is cultivated around the world, and its polysaccharide components are reported to be an effective approach for managing type diabetes with fewer adverse effects than",,0.0,1.0,"tea is cultivated around the world, and its polysaccharide components are reported to be an effective approach for managing type diabetes with fewer adverse effects than"
268,268,water,cholera,"pasteurella multocida causes fowl cholera, a highly contagious and severe disease in chickens and water fowls",DOID:1498,0.0,0.0,"pasteurella multocida causes fowl cholera, a highly contagious and severe disease in chickens and water fowls"
269,269,milk,chronic diseases,"milk and milk product intake is associated with better diet quality and has been associated with a reduced risk of chronic diseases or conditions including hypertension, cardiovascular",,0.0,1.0,"milk and milk product intake is associated with better diet quality and has been associated with a reduced risk of chronic diseases or conditions including hypertension, cardiovascular"
270,270,alcohol,carcinogenic,"red meat, which is carcinogenic to humans, and misuse or abuse of alcohol drinking increase premature death and",,0.0,0.0,"red meat, which is carcinogenic to humans, and misuse or abuse of alcohol drinking increase premature death and"
271,271,cherries,gout,"cherries, which are rich in anti-inflammatory and antioxidative bioactive compounds, are proposed to be efficacious in preventing and treating gout, but recommendations to patients are",DOID:13189,0.0,1.0,"cherries, which are rich in anti-inflammatory and antioxidative bioactive compounds, are proposed to be efficacious in preventing and treating gout, but recommendations to patients are"
272,272,blood sugar,fatigue,"effects in resisting oxidation, fatigue resistance, raising fertility, regulating endocrine, enhancing immunity, tumour suppression, treating osteoporosis, regulate blood sugar and protection of nervous system",,0.0,0.0,"effects in resisting oxidation, fatigue resistance, raising fertility, regulating endocrine, enhancing immunity, tumour suppression, treating osteoporosis, regulate blood sugar and protection of nervous system"
273,273,coffee consumption,type diabetes,the association between coffee consumption and the risk of type diabetes may vary by genetic variants,DOID:9352,0.0,0.0,the association between coffee consumption and the risk of type diabetes may vary by genetic variants
274,274,oolong tea,cancer,"the health benefits of oolong tea consumption is accumulating, and tea polyphenols have various pharmacological properties such as anti-cancer and anti-diabetes effects",,0.0,1.0,"the health benefits of oolong tea consumption is accumulating, and tea polyphenols have various pharmacological properties such as anti-cancer and anti-diabetes effects"
275,275,plant-based foods and beverages,vascular damage,"flavonoids, compounds found in plant-based foods and beverages, might ameliorate vascular damage and atherosclerosis",,0.0,1.0,"flavonoids, compounds found in plant-based foods and beverages, might ameliorate vascular damage and atherosclerosis"
276,276,indian yellow curry,cancer,"a compound found in indian yellow curry, is known to possess various biological activities, including anti-oxidant, anti-inflammatory, and anti-cancer activities",,0.0,1.0,"a compound found in indian yellow curry, is known to possess various biological activities, including anti-oxidant, anti-inflammatory, and anti-cancer activities"
277,277,restrictive diets,inflammatory bowel diseases,"children with inflammatory bowel diseases (ibds) are at risk of developing nutrition deficiencies, particularly because of reduced intake, restrictive diets, malabsorption, and excessive nutrient loss",DOID:0050589,0.0,0.0,"children with inflammatory bowel diseases (ibds) are at risk of developing nutrition deficiencies, particularly because of reduced intake, restrictive diets, malabsorption, and excessive nutrient loss"
278,278,sugar,bone fracture,"available regarding relationships between bone fracture history and calcium intake, sugar sweetened beverages (ssbs) intake, vitamin",,0.0,0.0,"available regarding relationships between bone fracture history and calcium intake, sugar sweetened beverages (ssbs) intake, vitamin"
279,279,chicken,pasteurellosis,"serotype antigen generated from chicken could specifically detect p. multocida, indicating that the antiserum for somatic serotyping was useful for immunohistochemical diagnosis of rabbit pasteurellosis",DOID:11055,0.0,0.0,"serotype antigen generated from chicken could specifically detect p. multocida, indicating that the antiserum for somatic serotyping was useful for immunohistochemical diagnosis of rabbit pasteurellosis"
280,280,food additives,senile dementia of alzheimer 's type,"aluminum is a constituent of antacids, deodorants, kitchenware and food additives which allows easy access into the body posing risk to development of senile dementia of alzheimer's type.",,1.0,0.0,"aluminum is a constituent of antacids, deodorants, kitchenware and food additives which allows easy access into the body posing risk to development of senile dementia of alzheimer's type."
